ccode	leader	eindate	eoutdate
2	Nixon	20jan1969	09aug1974
2	Ford	09aug1974	20jan1977
2	Carter	20jan1977	20jan1981
20	Pierre Trudeau	20apr1968	04jun1979
20	Clark	04jun1979	03mar1980
31	Pindling	16jan1967	21aug1992
40	Castro	02jan1959	24feb2008
41	Duvalier, Jean-Claude	22apr1971	07feb1986
42	Balaguer	01jul1966	01jul1978
42	Guzman Fernandez	01jul1978	04jul1982
51	Manley	02mar1972	01nov1980
52	Williams	31aug1962	29mar1981
53	Barrow	18nov1966	08sep1976
53	Adams	08oct1976	11mar1985
70	Echeverria Alvarez	01dec1970	01dec1976
70	Lopez Portillo	01dec1976	01dec1982
80	Price	07apr1961	17dec1984
90	Arana Osorio	01jul1970	01jul1974
90	Laugerud Garcia	01jul1974	01jul1978
90	Lucas Garcia	01jul1978	23mar1982
91	Lopez Arellano	04dec1972	22apr1975
91	Castro	22apr1975	07aug1978
91	Paz Garcia	07aug1978	27jan1982
92	Molina	01jul1972	01jul1977
92	Romero Mena	01jul1977	15oct1979
92	Majano Ramos	15oct1979	07dec1980
93	Anastasio Somoza Debayle	01may1967	17jul1979
93	Daniel Ortega	18jul1979	25apr1990
94	Figueres Ferrer	08may1970	08may1974
94	Quiros, Daniel	08may1974	08may1978
94	Carazo Odio	08may1978	08may1982
95	Torrijos Herrera	12oct1968	31jul1981
100	Pastrana Borrero	07aug1970	07aug1974
100	Lopez Michelsen	07aug1974	07aug1978
100	Turbay	07aug1978	07aug1982
101	Caldera Rodriguez	11mar1969	12mar1974
101	Andres Perez	12mar1974	12mar1979
101	Campins	12mar1979	02feb1984
110	Burnham	26may1966	06aug1985
115	Ferrier	25nov1975	13aug1980
130	Rodriguez Lara	15feb1972	11jan1976
130	Poveda Burbano	11jan1976	10aug1979
130	Roldos Aquilers	10aug1979	24may1981
135	Velasco Alvarado	03oct1968	29aug1975
135	Morales Bermudez	30aug1975	28jul1980
140	Medici	25oct1969	15mar1974
140	Geisel	15mar1974	15mar1979
140	Figueiredo	15mar1979	21mar1985
145	Banzer Suarez	22aug1971	21jul1978
145	Pereda Asbun	21jul1978	24nov1978
145	Padilla Aranciba	24nov1978	08aug1979
145	Guevara Arze	08aug1979	01nov1979
145	Natusch Busch	01nov1979	16nov1979
145	Lidia Gueiler Tejada	16nov1979	17jul1980
150	Stroessner	11jul1954	03feb1989
155	Allende	04nov1970	11sep1973
155	Pinochet	11sep1973	11mar1990
160	Lanusse	25mar1971	25may1973
160	Campora	25may1973	13jul1973
160	Lastiri	13jul1973	12oct1973
160	Peron	12oct1973	01jul1974
160	Peron, Isabel	01jul1974	29mar1976
160	Videla	29mar1976	29mar1981
165	Bordaberry	01mar1972	12jun1976
165	Demichelli	12jun1976	01sep1976
165	Mendez Manfredini	01sep1976	01sep1981
200	Heath	19jun1970	04mar1974
200	Wilson	04mar1974	05apr1976
200	Callaghan	05apr1976	04may1979
200	Thatcher	04may1979	28nov1990
205	Lynch	10nov1966	14mar1973
205	Cosgrave, L.	14mar1973	05jul1977
